"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2422735","2461661","2501296","2538202","2579287","2608635","2636270","2658853","2678738","2703375","2726009","2751725","2777771","2816347","2861914","2904482","2940183","2972650","3005988","3031903","3054812","3080854","3121924","3188122","3226313","3265344","3326846","3374290","3387816","3430564","3295401",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4032772","4105969","4176621","4238463","4296306","4340398","4400032","4430316","4446519","4470634","4507288","4537660","4581101","4633927","4682833","4776191","4850507","4950118","4997790","5104995","5077913","5087844","5095721","5102955","5108174","5113579","5107450","5105339","5103446","5092603","4790069",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342037","352151","359843","369550","381039","389721","400516","411882","420644","431942","445199","465309","475450","494581","509224","518123","531572","546791","557574","570823","585702","585574","589090","593733","604632","604273","603101","611103","625732","636734","639143",
"Czech Republic","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4958430","4980703","5025292","5079715","5139009","5159308","5156498","5134717","5155992","5184244","5153680","5132081","5134022","5128047","5125017","5180625","5186263","5186065","5205457","5249468","5241405","5233081","5269982","5323133","5324486","5337247","5388300","5419903","5452943","5441332","5373283",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38890436","40047322","39895296","39672241","39928898","39800856","39820179","40048777","40076957","40290378","40251178","40334537","40451098","40653164","40559921","41254074","41601159","41884470","41889046","41946315","42005792","41658239","41734548","42104557","42318973","42590799","43058646","43288288","43562287","43871267","43336018",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204726","210448","214058","216961","219822","223861","230467","238113","246403","254885","263320","269826","276100","282217","288447","295023","304045","313621","323635","334181","344548","352424","360337","368180","375937","383864","391157","399069","406885","414573","412802",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2871527","2874889","2877058","2858327","2780674","2825968","2836650","2857206","2845644","2879014","2863243","2854693","2890686","2870525","2898501","2900793","2931398","2930831","2922413","2910409","2890450","2886698","2871547","2850268","2863193","2888656","2933273","2960274","2982472","3023904","3023684",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569956","2639164","2709859","2779157","2847558","2917285","2987679","3060637","3134711","3208538","3282360","3286982","3384929","3388368","3452459","3509451","3656410","3705722","3803885","3733574","3907280","4089232","4215758","4307344","4399403","4663527","4763946","4838903","5029437","5199104","4859386",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6464550","6725424","6972518","7256587","7540958","7797280","8049040","8251472","8460836","8669900","8879547","9106753","9327491","9544295","9764165","9985163","10196156","10401602","10600180","10801298","11074293","11295173","11532685","12003272","11584916","11878706","12178730","12464049","12589369","12716547","12231856",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850914943","864246336","880528698","896310123","913869501","928293082","946421412","959780709","972074469","984072255","999142979","1007060838","1016021421","1026762980","1038022360","1045921557","1055159687","1067148345","1074818164","1081289653","1087143550","1097040330","1105037361","1110379219","1116525671","1121244816","1124665858","1128058486","1133332584","1136038204","1118445298",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","730568856","748807137","768689208","786333016","810102695","829334369","849793385","871236994","893905162","916489746","938068893","959372744","980040807","1003089346","1028739692","1051153705","1067261914","1086849457","1102126469","1119122312","1136513247","1152240834","1169178265","1186913631","1203774853","1223197161","1241675043","1261513651","1280515154","1303998836","1254157939",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957662191","973068685","990906301","1007514306","1026489446","1042309391","1061901569","1076748732","1089171727","1101588858","1117391961","1126061165","1135445633","1146391800","1158246681","1166912786","1177102882","1190313768","1198771581","1205496343","1211911697","1222104511","1230648022","1237109286","1244646906","1250498191","1255058403","1259623343","1266543881","1270337839","1252150240",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163727534","164585889","165598118","163547020","163936781","164145496","163394667","161673345","161153712","165360497","165358903","164366595","165724793","165713878","166653971","168002003","168660837","170549948","172351182","173588587","175112183","177003682","177498222","178748632","179317069","180683804","181718197","182192276","182608709","182092860","178118083",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387447122","390236749","390685927","388326337","389177331","389445864","389321203","388622672","389379000","395511338","396929926","396169012","398668315","400808237","403473357","407327790","410059610","413759841","417727566","419819236","422201852","423857015","426086086","428271641","429925476","432098583","434546100","436273211","437855135","438364281","431681459",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4037947","4177910","4313570","4452114","4602265","4745537","4882094","5025474","5350900","5460043","5568321","5667598","5767431","5867129","6213934","6302130","6573775","6583447","6747269","6705194","6740237","6803755","7012139","7088863","7213267","7645865","8042980","8305504","8364868","8519412","8019060",
